,image,num_iters,execution_time,star_coord,flux_before,flux_after,bkg_before,bkg_after,l1_centroid_err,before_ecc,after_ecc,before_fwhm (pix),after_fwhm (pix),flag,bestBeta
82,ccfbvc310081.fits,10,0.4553,"(359.8040650533793, 308.3053971459782)",8280.565,8280.5602,102.25186340439967,0.0,0.3658,0.20406143515374753,0.31095211862117433,5.7933,2.7368,1,0.959541011649041
83,ccfbvc310081.fits,10,0.5615,"(417.0053014450131, 520.3484516728839)",11038.172,11038.1688,117.71771621704102,0.0,0.3538,0.2888501730774842,0.3136737101639927,5.9495,2.8851,1,0.9500520376995315
84,ccfbvc310081.fits,10,0.5027,"(499.6620023239215, 396.78282270140863)",48852.242,48852.2316,130.02993774414062,0.0,2.4124,0.38705262344369684,0.2337904475366701,5.5363,2.9909,1,0.9580853326332714
85,ccfbvc310081.fits,10,0.521,"(534.7589760554631, 499.4943608455904)",5834.641,5834.6405,130.98234176635742,0.0,1.4197,0.34427987645167035,0.2257406372444457,5.6686,2.9402,1,0.9720241047565548
86,ccfbvc310082.fits,10,0.4894,"(46.631488764990166, 372.86639680185294)",4081.3171,4081.3199,90.42610931396484,0.0,7.8728,0.3569273116926678,0.06916543415325827,4.3628,2.0077,1,0.9956069984217036
87,ccfbvc310082.fits,10,0.5488,"(440.8270081249073, 283.66049920096214)",45016.38,44607.2804,128.54212188720703,0.45454529049430936,6.3382,0.18899280531983154,0.6264040363470857,5.2199,3.8104,1,0.9505522117123602
88,ccfbvc310082.fits,10,0.4807,"(248.76372480307754, 43.78883772067575)",21337.77,15869.7297,96.65596771240234,6.0756088175920615,1.1927,0.6134503883663567,0.1717848736702936,7.8113,2.8514,0,0.957404465173409
89,ccfbvc310082.fits,10,0.4926,"(415.82345674342196, 270.9052016350851)",27065.314,26727.0195,111.81733703613281,0.37588082213801394,2.9274,0.2978900410155709,0.2961011078417015,5.1196,3.8981,1,0.950695213053119
90,ccfbvc310082.fits,10,0.5408,"(497.64971622921735, 399.466423635381)",29934.727,26197.9056,131.65667724609375,4.152017513493427,18.0512,0.5654064469601738,0.32074571730804613,5.4885,3.6603,0,0.97420552715115
91,ccfbvc310082.fits,10,0.5335,"(48.81337772828833, 314.7293454797193)",9282.663,6708.9022,82.44336700439453,2.859734172522033,1.6594,0.41671175059400933,0.19102670253552545,4.5839,2.8419,0,1.001209305829928
92,ccfbvd120064.fits,10,0.4973,"(443.56110532940517, 262.6740168093585)",23282.55,23282.5365,182.05493927001953,0.0,1.0003,0.04202259028952238,0.20049147687992686,6.1817,2.4177,1,1.0024756431632238
93,ccfbvd120064.fits,10,0.4847,"(95.08888782835473, 356.97594998597765)",28848.916,28848.927,161.1143798828125,0.0,0.5349,0.07422112229391997,0.14475352610305692,6.507,2.7178,1,0.9771349031773896
94,ccfbvd120064.fits,10,0.4721,"(480.4909463038702, 27.17686771755502)",35877.133,35877.1333,192.73546981811523,0.0,0.5746,0.050817096496668546,0.15732298707026904,6.4632,2.9353,1,1.0271270346685946
95,ccfbvd120064.fits,10,0.5418,"(501.9478487524487, 518.4898119736725)",48120.008,38830.5511,236.56289672851562,10.32162043347007,2.2894,0.11963867002498585,0.11814100023080443,6.0514,3.8806,0,0.9727935162541942
96,ccfbvd120064.fits,10,0.4623,"(466.5840638894916, 304.5115188703656)",52047.598,52047.5949,226.08700942993164,0.0,2.1848,0.07845000480294062,0.07188591236133901,5.7673,3.3106,1,1.0018790621743365
97,ccfbvd120064.fits,10,0.5527,"(417.95396078880066, 268.2708091005116)",6548.708,6548.7043,178.76866912841797,0.0,0.8828,0.04412386639669541,0.2576136059023877,6.0971,2.0237,1,0.9820780064971736
98,ccfbvd120067.fits,9,0.3816,"(327.08369651139355, 107.00375025139662)",80518.5,80518.5013,214.35330963134766,0.0,1.5538,0.36794017971732795,0.13041852715400037,7.3256,3.3472,1,1.0442201755684852
99,ccfbvd120067.fits,10,0.4851,"(212.04941221148897, 450.27772310783945)",31469.04,31469.0414,166.04615783691406,0.0,1.4747,0.16327801302560607,0.06419663352009941,6.6665,3.0242,1,1.0342284774594999
100,ccfbvd120067.fits,6,0.1681,"(266.3505326347455, 418.88633211246344)",31372.854,31372.8522,282.8475875854492,0.0,0.8849,0.1601141797061041,0.09441920559385286,6.314,2.9638,1,1.0290175540531206
101,ccfbvd120067.fits,10,0.4335,"(51.23055221133225, 132.04011840684217)",61337.004,61337.0089,175.41949844360352,0.0,1.4723,0.36677160164261424,0.1151042722343949,7.145,3.4128,1,1.0039841091301673
102,ccfbvd120067.fits,10,0.5899,"(393.1672725934353, 313.0148718271375)",22265.86,22265.8558,204.08616256713867,0.0,0.1863,0.15548913345353577,0.1536310776347638,6.0176,2.6264,1,0.9533050732900548
103,ccfbvd120067.fits,10,0.4711,"(439.052302894652, 286.8133566274778)",31705.447,31705.4422,182.61270141601562,0.0,1.4513,0.38724048223727425,0.07763400402543186,7.3408,2.986,1,0.9674954927095936
104,ccfbvf110065.fits,10,0.4408,"(297.57215638345133, 310.7866203553254)",18877.562,18877.5561,132.01847076416016,0.0,0.4526,0.32913768745371064,0.3261982961602221,6.5268,3.0857,1,0.9513264961159866
105,ccfbvf110065.fits,10,0.473,"(443.0353796847967, 262.7520110184127)",35430.71,35430.6983,161.04837799072266,0.0,0.6273,0.2635792973739054,0.23749583689228837,6.5166,3.3176,1,0.9775999182022543
106,ccfbvf110065.fits,10,0.5531,"(497.9339118476661, 259.54264211455524)",30593.979,30593.9765,150.93426513671875,0.0,0.6365,0.2467536534295146,0.19692422247415708,6.6011,3.2917,1,0.9540433589538431
107,ccfbvf110065.fits,10,0.4522,"(290.1318118952968, 380.33928646510026)",10394.1045,10394.0948,134.45853424072266,0.0,0.32,0.2320693749279248,0.208529677225335,6.9124,2.5595,1,0.9772132249384635
108,ccfbvf110065.fits,4,0.0766,"(225.9168119801454, 58.947109137553355)",11372.061,11372.0659,131.9646224975586,0.0,0.3616,0.21191347530790805,0.19576890230408328,6.1562,2.8017,1,1.0180705451554768
109,ccfbvf110065.fits,10,0.4617,"(226.7426816566331, 173.95446544917348)",10151.16,10151.1704,117.34426498413086,0.0,0.1457,0.31882300656837836,0.27104812717145654,6.071,2.6437,1,0.9709071620737714
110,ccfbvf110066.fits,10,0.5711,"(503.2213325742903, 343.9272299222542)",24335.574,24335.5776,143.35149383544922,0.0,0.2817,0.3811639532168001,0.28759640975437206,6.3913,2.9741,1,0.9741025466026012
111,ccfbvf110066.fits,10,0.4716,"(184.03412571746935, 442.4349174642323)",23813.879,23813.8782,119.52640533447266,0.0,0.501,0.2812434928099008,0.1866462713409074,6.4017,3.3157,1,0.9515636406741194
