,image,num_iters,execution_time,star_coord,flux_before,flux_after,bkg_before,bkg_after,l1_centroid_err,before_ecc,after_ecc,before_fwhm (pix),after_fwhm (pix),flag,bestBeta
55,ccfbvc170120.fits,28,3.4939,"(512.4826394138325, 109.37329288548088)",169877.2,169877.2254,492.89227294921875,0.0,6.0557,0.5192505670310421,0.23830245576431774,5.7087,3.6418,1,1.0
56,ccfbvc170120.fits,5,0.121,"(175.4320312626543, 505.34615702594846)",41818.957,41818.9473,362.61119842529297,0.0,1.9101,0.4937317670170104,0.1402966814228439,5.5382,3.2227,1,1.0
57,ccfbvc170120.fits,6,0.1754,"(436.36120707135615, 286.476217872201)",80197.02,80197.0801,510.13521575927734,0.0,1.4686,0.630924438171498,0.1374829449995567,8.1247,3.2061,1,1.0
58,ccfbvc170120.fits,39,6.5068,"(209.80082690509366, 449.3716872472659)",121625.75,121625.7454,396.6573791503906,0.0,2.2659,0.5338557180815804,0.06906782086735908,8.2413,3.5032,1,1.0
59,ccfbvc170120.fits,13,0.788,"(463.84255057884275, 304.041660271735)",150859.22,150859.2463,673.1444702148438,0.0,5.2589,0.5644155461250595,0.3707063002505653,6.7048,3.0627,1,1.0
60,ccfbvc170121.fits,2,0.0248,"(467.5642300582483, 303.3751938121604)",110412.31,110412.3565,446.1480407714844,0.0,2.0341,0.22518896966403856,0.11845720085741429,6.1588,4.8933,1,1.0
61,ccfbvc170121.fits,2,0.022,"(86.62588363010323, 288.38241174179336)",67378.38,67378.3698,269.74627685546875,0.0,2.5977,0.19329895831390542,0.18155663620403595,6.8243,5.286,1,1.0
62,ccfbvc310078.fits,1,0.0186,"(52.64173585021789, 130.45846815504848)",83700.88,83700.8953,120.0505142211914,0.0,0.6195,0.39090008158497347,0.43849112812898405,8.0935,6.4054,1,1.0
63,ccfbvc310078.fits,2,0.0264,"(206.65417264796733, 132.48386019463794)",12846.367,12846.3682,90.1240177154541,0.0,0.8115,0.37360333419686986,0.5260898847457196,6.5461,5.466,1,1.0
64,ccfbvc310078.fits,1,0.013,"(265.0205692049229, 519.4335630442079)",13254.84,-1810.9983,94.72775840759277,16.739814784433136,0.6821,0.37143016162195275,0.3966656184340418,7.2018,5.4692,0,1.0
